Page,Device,Group,ItemID,Item,Value
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,SERGEJ-ПК
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,Sergej-ПК
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,Sergej-ПК
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,0508
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,09/02/2013
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; APM; ACPI; UEFI
DMI,BIOS,Свойства BIOS,2568,Возможности расширения,PCI; USB
DMI,BIOS,Свойства BIOS,2600,Виртуальная машина,No
DMI,BIOS,Производитель BIOS,0,Фирма,American Megatrends Inc.
DMI,BIOS,Производитель BIOS,0,Информация о продукте,http://www.ami.com/amibios
DMI,BIOS,Производитель BIOS,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Система,Свойства системы,2569,Производитель,ASUS
DMI,Система,Свойства системы,2570,Продукт,All Series
DMI,Система,Свойства системы,2571,Версия,System Version
DMI,Система,Свойства системы,2572,Серийный номер,System Serial Number
DMI,Система,Свойства системы,2598,SKU#,All
DMI,Система,Свойства системы,2599,Семейство,ASUS MB
DMI,Система,Свойства системы,2573,Универсальный уникальный ID,56978766-A5E67C16-FA43D850-E6BA1E90
DMI,Система,Свойства системы,2574,Тип пробуждения,Power Switch
DMI,Системная плата,Свойства системной платы,2575,Производитель,ASUSTeK COMPUTER INC.
DMI,Системная плата,Свойства системной платы,2576,Продукт,H81M-PLUS
DMI,Системная плата,Свойства системной платы,2577,Версия,Rev X.0x
DMI,Системная плата,Свойства системной платы,2578,Серийный номер,130916518603487
DMI,Системная плата,Свойства системной платы,2603,Тег имущества,To be filled by O.E.M.
DMI,Системная плата,Производитель системной платы,0,Фирма,ASUSTeK Computer Inc.
DMI,Системная плата,Производитель системной платы,0,Информация о продукте,http://www.asus.com/Motherboards
DMI,Системная плата,Производитель системной платы,0,Загрузка обновлений BIOS,http://support.asus.com/download/download.aspx?SLanguage=en-us
DMI,Системная плата,Производитель системной платы,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Системная плата,Производитель системной платы,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Шасси,Свойства шасси,2579,Производитель,Chassis Manufacture
DMI,Шасси,Свойства шасси,2580,Версия,Chassis Version
DMI,Шасси,Свойства шасси,2581,Серийный номер,Chassis Serial Number
DMI,Шасси,Свойства шасси,2582,Тег имущества,Asset-1234567890
DMI,Шасси,Свойства шасси,2583,Тип шасси,Desktop Case
DMI,Шасси,Свойства шасси,2585,Состояние загрузки ОС,Safe
DMI,Шасси,Свойства шасси,2586,Состояние источника питания,Safe
DMI,Шасси,Свойства шасси,2587,Температурное состояние,Safe
DMI,Шасси,Свойства шасси,2588,Состояние безопасности,None
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Производитель,Intel
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Версия,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тег имущества,Fill By OEM
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Шифр компонента,Fill By OEM
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Внешняя частота,100 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Максимальная частота,3900 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Текущая частота,3600 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тип,Central Processor
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Напряжение питания,1.2 V
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Статус,Enabled
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Установка,Socket LGA1155
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тип разъёма,SOCKET 1150
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,HTT / CMP Units,1 / 4
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Возможности,64-bit
