Page,Device,Group,ItemID,Item,Value
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тег имущества,Fill By OEM
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Шифр компонента,Fill By OEM
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Внешняя частота,100 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Максимальная частота,3900 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Текущая частота,3600 МГц
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тип,Central Processor
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Напряжение питания,1.2 V
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Статус,Enabled
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Установка,Socket LGA1155
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Тип разъёма,SOCKET 1150
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,HTT / CMP Units,1 / 4
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Свойства процессора,0,Возможности,64-bit
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Фирма,Intel Corporation
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Информация о продукте,http://ark.intel.com/search.aspx?q=Intel%20Core%20i5-4570
DMI,Процессоры / Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Производитель ЦП,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип,Internal
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Максимальный объём,256 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Установленный объём,256 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип разъёма,CPU Internal L1
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Максимальный объём,1 МБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Установленный объём,1 МБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип разъёма,CPU Internal L2
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Ассоциативность,12-way Set-Associative
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Максимальный объём,6 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Установленный объём,6 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип разъёма,CPU Internal L3
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Размещение,Motherboard
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Функция массива памяти,System Memory
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Коррекция ошибок,None
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Макс. объём памяти,16 ГБ
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Устройства памяти,2
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размер,8 ГБ
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Макс. частота,1600 MT/s
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Текущая частота,1600 MT/s
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ranks,2
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размещение,ChannelA-DIMM0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Банк,BANK 0
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Производитель,Samsung
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Серийный номер,21941290
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Шифр компонента,M378B1G73QH0-CMA
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Размер,8 ГБ
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Макс. частота,1600 MT/s
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Текущая частота,1600 MT/s
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Ranks,2
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Размещение,ChannelB-DIMM0
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Банк,BANK 2
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Производитель,0793
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Серийный номер,00000000
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Тег имущества,9876543210
DMI,Устройства памяти / ChannelB-DIMM0,Свойства устройства памяти,0,Шифр компонента,GR1600D364L11/8G
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Назначение разъёма,PCIEX16_1
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Использование,In Use
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Ширина шины данных,x16
DMI,Системные разъёмы / PCIEX16_1,Свойства системного разъёма,0,Длина,Long
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_1
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_1,Свойства системного разъёма,0,Длина,Short
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Назначение разъёма,PCIEX1_2
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Тип,PCI-E
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Использование,Empty
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Ширина шины данных,x1
DMI,Системные разъёмы / PCIEX1_2,Свойства системного разъёма,0,Длина,Short
