Page,Device,Group,ItemID,Item,Value
Суммарная информация,,DMI,557,DMI версия системной платы,1.0
Суммарная информация,,DMI,558,DMI серийный номер системной платы,To be filled by O.E.M.
Суммарная информация,,DMI,559,DMI производитель шасси,MSI
Суммарная информация,,DMI,560,DMI версия шасси,1.0
Суммарная информация,,DMI,561,DMI серийный номер шасси,To be filled by O.E.M.
Суммарная информация,,DMI,562,DMI Asset-тег шасси,To be filled by O.E.M.
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ARTDIZALINA
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ARTDIZALINA
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,ARTDIZAlina
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,V1.9
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,03/30/2015
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; ACPI; UEFI
DMI,BIOS,Свойства BIOS,2568,Возможности расширения,PCI; USB
DMI,BIOS,Свойства BIOS,2600,Виртуальная машина,No
DMI,BIOS,Производитель BIOS,0,Фирма,American Megatrends Inc.
DMI,BIOS,Производитель BIOS,0,Информация о продукте,http://www.ami.com/amibios
DMI,BIOS,Производитель BIOS,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Система,Свойства системы,2569,Производитель,MSI
DMI,Система,Свойства системы,2570,Продукт,MS-7817
DMI,Система,Свойства системы,2571,Версия,1.0
DMI,Система,Свойства системы,2572,Серийный номер,To be filled by O.E.M.
DMI,Система,Свойства системы,2598,SKU#,To be filled by O.E.M.
DMI,Система,Свойства системы,2599,Семейство,To be filled by O.E.M.
DMI,Система,Свойства системы,2573,Универсальный уникальный ID,00000000-00000000-0000D8CB-8A7C3334
DMI,Система,Свойства системы,2574,Тип пробуждения,Power Switch
DMI,Системная плата,Свойства системной платы,2575,Производитель,MSI
DMI,Системная плата,Свойства системной платы,2576,Продукт,H81M-P33 (MS-7817)
DMI,Системная плата,Свойства системной платы,2577,Версия,1.0
DMI,Системная плата,Свойства системной платы,2578,Серийный номер,To be filled by O.E.M.
DMI,Системная плата,Свойства системной платы,2603,Тег имущества,To be filled by O.E.M.
DMI,Системная плата,Производитель системной платы,0,Фирма,Micro-Star Int'l Co.;Ltd.
DMI,Системная плата,Производитель системной платы,0,Информация о продукте,https://www.msi.com/Motherboards
DMI,Системная плата,Производитель системной платы,0,Загрузка обновлений BIOS,https://www.msi.com/support#support_download
DMI,Системная плата,Производитель системной платы,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Системная плата,Производитель системной платы,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Шасси,Свойства шасси,2579,Производитель,MSI
DMI,Шасси,Свойства шасси,2580,Версия,1.0
DMI,Шасси,Свойства шасси,2581,Серийный номер,To be filled by O.E.M.
DMI,Шасси,Свойства шасси,2582,Тег имущества,To be filled by O.E.M.
DMI,Шасси,Свойства шасси,2583,Тип шасси,Desktop Case
DMI,Шасси,Свойства шасси,2585,Состояние загрузки ОС,Safe
DMI,Шасси,Свойства шасси,2586,Состояние источника питания,Safe
DMI,Шасси,Свойства шасси,2587,Температурное состояние,Safe
DMI,Шасси,Свойства шасси,2588,Состояние безопасности,None
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Производитель,Intel
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Версия,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Тег имущества,Fill By OEM
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Шифр компонента,Fill By OEM
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Внешняя частота,100 МГц
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Максимальная частота,3800 МГц
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Текущая частота,3000 МГц
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Тип,Central Processor
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Напряжение питания,1.2 V
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Статус,Enabled
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Установка,Socket LGA1155
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Тип разъёма,SOCKET 0
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,HTT / CMP Units,1 / 2
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Свойства процессора,0,Возможности,64-bit
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Производитель ЦП,0,Фирма,Intel Corporation
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Производитель ЦП,0,Информация о продукте,http://ark.intel.com/search.aspx?q=Intel%20Pentium%20G3220
DMI,Процессоры / Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Производитель ЦП,0,Обновление драйверов,http://www.aida64.com/driver-updates
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Максимальный объём,512 КБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Установленный объём,512 КБ
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L2,Свойства кэша,0,Тип разъёма,CPU Internal L2
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип,Internal
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Ассоциативность,8-way Set-Associative
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Максимальный объём,128 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Установленный объём,128 КБ
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L1,Свойства кэша,0,Тип разъёма,CPU Internal L1
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип,Unified
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Статус,Enabled
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Режим работы,Write-Back
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Ассоциативность,12-way Set-Associative
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Максимальный объём,3 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Установленный объём,3 МБ
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Коррекция ошибок,Single-bit ECC
DMI,Кэш-память / CPU Internal L3,Свойства кэша,0,Тип разъёма,CPU Internal L3
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Размещение,Motherboard
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Функция массива памяти,System Memory
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Коррекция ошибок,None
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Макс. объём памяти,32 ГБ
DMI,Массивы памяти / System Memory,Свойства массива памяти,0,Устройства памяти,4
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Форм-фактор,DIMM
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,DDR3
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Тип,Synchronous
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Размер,8 ГБ
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Макс. частота,1600 MT/s
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Текущая частота,1333 MT/s
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Общая ширина,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ширина данных,64 бит
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Ranks,2
DMI,Устройства памяти / ChannelA-DIMM0,Свойства устройства памяти,0,Мин. напряжение,1.500 V
